instance_id,question_id,db_id,difficulty
minidev0103,1220,thrombosis_prediction,simple
minidev0104,1225,thrombosis_prediction,moderate
minidev0105,1227,thrombosis_prediction,moderate
minidev0106,1229,thrombosis_prediction,moderate
minidev0107,1231,thrombosis_prediction,challenging
minidev0108,1232,thrombosis_prediction,challenging
minidev0109,1235,thrombosis_prediction,moderate
minidev0110,1238,thrombosis_prediction,moderate
minidev0111,1239,thrombosis_prediction,challenging
minidev0112,1241,thrombosis_prediction,challenging
minidev0113,1242,thrombosis_prediction,challenging
minidev0114,1243,thrombosis_prediction,challenging
minidev0115,1247,thrombosis_prediction,challenging
minidev0116,1251,thrombosis_prediction,simple
minidev0117,1252,thrombosis_prediction,moderate
minidev0118,1254,thrombosis_prediction,moderate
minidev0119,1255,thrombosis_prediction,moderate
minidev0120,1256,thrombosis_prediction,moderate
minidev0121,1257,thrombosis_prediction,challenging
minidev0122,1265,thrombosis_prediction,moderate
minidev0123,1267,thrombosis_prediction,moderate
minidev0124,1270,thrombosis_prediction,challenging
minidev0125,1275,thrombosis_prediction,moderate
minidev0126,1281,thrombosis_prediction,moderate
minidev0127,1302,thrombosis_prediction,challenging
minidev0128,1025,european_football_2,moderate
minidev0129,1028,european_football_2,challenging
minidev0130,1029,european_football_2,moderate
minidev0131,1030,european_football_2,moderate
minidev0132,1031,european_football_2,challenging
minidev0133,1032,european_football_2,moderate
minidev0134,1035,european_football_2,simple
minidev0135,1036,european_football_2,challenging
minidev0136,1037,european_football_2,challenging
minidev0137,1039,european_football_2,simple
minidev0138,1040,european_football_2,moderate
minidev0139,1042,european_football_2,challenging
minidev0140,1044,european_football_2,simple
minidev0141,1048,european_football_2,simple
minidev0142,1057,european_football_2,moderate
minidev0143,1058,european_football_2,challenging
minidev0144,1068,european_football_2,moderate
minidev0145,1076,european_football_2,challenging
minidev0146,1078,european_football_2,simple
minidev0147,1079,european_football_2,simple
minidev0148,1080,european_football_2,moderate
minidev0149,1084,european_football_2,challenging
minidev0150,1088,european_football_2,moderate
minidev0151,1091,european_football_2,moderate
minidev0152,1092,european_football_2,simple
minidev0153,1094,european_football_2,challenging
minidev0154,1096,european_football_2,moderate
minidev0155,1098,european_football_2,moderate
minidev0156,1102,european_football_2,moderate
minidev0157,1103,european_football_2,moderate
minidev0158,1105,european_football_2,moderate
minidev0159,1107,european_football_2,moderate
minidev0160,1110,european_football_2,moderate
minidev0161,1113,european_football_2,moderate
minidev0162,1114,european_football_2,challenging
minidev0163,1115,european_football_2,challenging
minidev0164,1116,european_football_2,simple
minidev0165,1122,european_football_2,simple
minidev0166,1124,european_football_2,moderate
minidev0167,1130,european_football_2,moderate
minidev0168,1133,european_football_2,simple
minidev0169,1134,european_football_2,simple
minidev0170,1135,european_football_2,moderate
minidev0171,1136,european_football_2,moderate
minidev0172,1139,european_football_2,challenging
minidev0173,1141,european_football_2,moderate
minidev0174,1144,european_football_2,simple
minidev0175,1145,european_football_2,simple
minidev0176,1146,european_football_2,moderate
minidev0177,1147,european_football_2,simple
minidev0178,1148,european_football_2,moderate
minidev0179,846,formula_1,moderate
minidev0180,847,formula_1,simple
minidev0181,850,formula_1,simple
minidev0182,854,formula_1,simple
minidev0183,857,formula_1,simple
minidev0184,859,formula_1,simple
minidev0185,861,formula_1,simple
minidev0186,862,formula_1,simple
minidev0187,865,formula_1,moderate
minidev0188,866,formula_1,moderate
minidev0189,868,formula_1,simple
minidev0190,869,formula_1,moderate
minidev0191,872,formula_1,simple
minidev0192,875,formula_1,simple
minidev0193,877,formula_1,moderate
minidev0194,879,formula_1,moderate
minidev0195,880,formula_1,challenging
minidev0196,881,formula_1,moderate
minidev0197,884,formula_1,moderate
minidev0198,892,formula_1,moderate
minidev0199,894,formula_1,moderate
minidev0200,895,formula_1,moderate
minidev0201,896,formula_1,challenging
minidev0202,897,formula_1,moderate
minidev0203,898,formula_1,simple
minidev0204,901,formula_1,simple
minidev0205,902,formula_1,simple
minidev0206,904,formula_1,moderate
minidev0207,906,formula_1,moderate
minidev0208,909,formula_1,moderate
minidev0209,910,formula_1,simple
minidev0210,912,formula_1,simple
minidev0211,915,formula_1,simple
minidev0212,928,formula_1,moderate
minidev0213,930,formula_1,simple
minidev0214,931,formula_1,moderate
minidev0215,933,formula_1,moderate
minidev0216,937,formula_1,simple
minidev0217,940,formula_1,moderate
minidev0218,944,formula_1,challenging
minidev0219,945,formula_1,simple
minidev0220,948,formula_1,simple
minidev0221,950,formula_1,simple
minidev0222,951,formula_1,simple
minidev0223,954,formula_1,challenging
minidev0224,955,formula_1,challenging
minidev0225,959,formula_1,simple
minidev0226,960,formula_1,moderate
minidev0227,962,formula_1,challenging
minidev0228,963,formula_1,moderate
minidev0229,964,formula_1,simple
minidev0230,967,formula_1,simple
minidev0231,971,formula_1,simple
minidev0232,972,formula_1,moderate
minidev0233,977,formula_1,simple
minidev0234,978,formula_1,simple
minidev0235,981,formula_1,moderate
minidev0236,988,formula_1,challenging
minidev0237,989,formula_1,moderate
minidev0238,990,formula_1,challenging
minidev0239,717,superhero,simple
minidev0240,994,formula_1,challenging
minidev0241,1001,formula_1,challenging
minidev0242,1002,formula_1,moderate
minidev0243,1003,formula_1,moderate
minidev0244,1011,formula_1,challenging
minidev0245,1014,formula_1,challenging
minidev0246,719,superhero,moderate
minidev0247,723,superhero,moderate
minidev0248,724,superhero,challenging
minidev0249,726,superhero,moderate
minidev0250,728,superhero,moderate
minidev0251,730,superhero,challenging
minidev0252,732,superhero,moderate
minidev0253,733,superhero,moderate
minidev0254,736,superhero,moderate
minidev0255,737,superhero,simple
minidev0256,738,superhero,simple
minidev0257,739,superhero,moderate
minidev0258,740,superhero,moderate
minidev0259,743,superhero,challenging
minidev0260,744,superhero,challenging
minidev0261,745,superhero,simple
minidev0262,747,superhero,simple
minidev0263,750,superhero,simple
minidev0264,751,superhero,moderate
minidev0265,753,superhero,moderate
minidev0266,758,superhero,moderate
minidev0267,760,superhero,challenging
minidev0268,761,superhero,moderate
minidev0269,764,superhero,simple
minidev0270,765,superhero,simple
minidev0271,766,superhero,moderate
minidev0272,769,superhero,challenging
minidev0273,772,superhero,challenging
minidev0274,773,superhero,challenging
minidev0275,775,superhero,challenging
minidev0276,779,superhero,simple
minidev0277,781,superhero,simple
minidev0278,782,superhero,moderate
minidev0279,785,superhero,simple
minidev0280,786,superhero,moderate
minidev0281,788,superhero,challenging
minidev0282,790,superhero,moderate
minidev0283,791,superhero,simple
minidev0284,792,superhero,simple
minidev0285,794,superhero,moderate
minidev0286,796,superhero,moderate
minidev0287,797,superhero,moderate
minidev0288,798,superhero,moderate
minidev0289,800,superhero,moderate
minidev0290,801,superhero,moderate
minidev0291,806,superhero,simple
minidev0292,819,superhero,challenging
minidev0293,822,superhero,moderate
minidev0294,824,superhero,moderate
minidev0295,825,superhero,moderate
minidev0296,829,superhero,challenging
minidev0297,531,codebase_community,simple
minidev0298,532,codebase_community,simple
minidev0299,533,codebase_community,simple
minidev0300,539,codebase_community,simple
minidev0301,537,codebase_community,simple
minidev0302,544,codebase_community,moderate
minidev0303,547,codebase_community,simple
minidev0304,549,codebase_community,simple
minidev0305,555,codebase_community,simple
minidev0306,557,codebase_community,moderate
minidev0307,563,codebase_community,moderate
minidev0308,565,codebase_community,moderate
minidev0309,567,codebase_community,simple
minidev0310,568,codebase_community,simple
minidev0311,571,codebase_community,moderate
minidev0312,572,codebase_community,moderate
minidev0313,573,codebase_community,simple
minidev0314,576,codebase_community,simple
minidev0315,578,codebase_community,moderate
minidev0316,581,codebase_community,moderate
minidev0317,584,codebase_community,moderate
minidev0318,586,codebase_community,challenging
minidev0319,587,codebase_community,moderate
minidev0320,592,codebase_community,simple
minidev0321,595,codebase_community,moderate
minidev0322,598,codebase_community,challenging
minidev0323,604,codebase_community,moderate
minidev0324,629,codebase_community,simple
minidev0325,633,codebase_community,moderate
minidev0326,634,codebase_community,challenging
minidev0327,637,codebase_community,moderate
minidev0328,639,codebase_community,challenging
minidev0329,640,codebase_community,moderate
minidev0330,665,codebase_community,moderate
minidev0331,669,codebase_community,simple
minidev0332,671,codebase_community,simple
minidev0333,672,codebase_community,moderate
minidev0334,678,codebase_community,simple
minidev0335,682,codebase_community,moderate
minidev0336,683,codebase_community,moderate
minidev0337,685,codebase_community,moderate
minidev0338,687,codebase_community,simple
minidev0339,694,codebase_community,moderate
minidev0340,701,codebase_community,challenging
minidev0341,704,codebase_community,simple
minidev0342,705,codebase_community,simple
minidev0343,707,codebase_community,moderate
minidev0344,710,codebase_community,simple
minidev0345,716,codebase_community,moderate
minidev0346,340,card_games,simple
minidev0347,341,card_games,simple
minidev0348,344,card_games,moderate
minidev0349,345,card_games,moderate
minidev0350,346,card_games,moderate
minidev0351,347,card_games,moderate
minidev0352,349,card_games,moderate
minidev0353,352,card_games,moderate
minidev0354,356,card_games,simple
minidev0355,358,card_games,simple
minidev0356,366,card_games,simple
minidev0357,368,card_games,simple
minidev0358,371,card_games,challenging
minidev0359,377,card_games,simple
minidev0360,379,card_games,simple
minidev0361,383,card_games,simple
minidev0362,391,card_games,moderate
minidev0363,397,card_games,moderate
minidev0364,402,card_games,moderate
minidev0365,405,card_games,moderate
minidev0366,407,card_games,moderate
minidev0367,408,card_games,moderate
minidev0368,409,card_games,moderate
minidev0369,412,card_games,moderate
minidev0370,414,card_games,simple
minidev0371,415,card_games,challenging
minidev0372,416,card_games,challenging
minidev0373,422,card_games,simple
minidev0374,424,card_games,simple
minidev0375,427,card_games,moderate
minidev0376,440,card_games,simple
minidev0377,459,card_games,moderate
minidev0378,462,card_games,moderate
minidev0379,465,card_games,moderate
minidev0380,466,card_games,moderate
minidev0381,468,card_games,moderate
minidev0382,469,card_games,moderate
minidev0383,472,card_games,moderate
minidev0384,473,card_games,moderate
minidev0385,474,card_games,moderate
minidev0386,477,card_games,challenging
minidev0387,479,card_games,moderate
minidev0388,480,card_games,moderate
minidev0389,483,card_games,moderate
minidev0390,484,card_games,moderate
minidev0391,486,card_games,moderate
minidev0392,487,card_games,challenging
minidev0393,518,card_games,moderate
minidev0394,522,card_games,moderate
minidev0395,528,card_games,challenging
minidev0396,529,card_games,moderate
minidev0397,530,card_games,moderate
minidev0398,195,toxicology,simple
minidev0399,197,toxicology,moderate
minidev0400,198,toxicology,challenging
minidev0401,200,toxicology,simple
minidev0402,201,toxicology,moderate
minidev0403,206,toxicology,challenging
minidev0404,207,toxicology,challenging
minidev0405,208,toxicology,moderate
minidev0406,212,toxicology,challenging
minidev0407,213,toxicology,moderate
minidev0408,215,toxicology,challenging
minidev0409,218,toxicology,challenging
minidev0410,219,toxicology,challenging
minidev0411,220,toxicology,challenging
minidev0412,226,toxicology,moderate
minidev0413,227,toxicology,simple
minidev0414,228,toxicology,moderate
minidev0415,230,toxicology,challenging
minidev0416,231,toxicology,challenging
minidev0417,232,toxicology,moderate
minidev0418,234,toxicology,moderate
minidev0419,236,toxicology,moderate
minidev0420,239,toxicology,simple
minidev0421,240,toxicology,challenging
minidev0422,242,toxicology,moderate
minidev0423,243,toxicology,moderate
minidev0424,244,toxicology,moderate
minidev0425,245,toxicology,moderate
minidev0426,247,toxicology,challenging
minidev0427,248,toxicology,simple
minidev0428,249,toxicology,challenging
minidev0429,253,toxicology,challenging
minidev0430,255,toxicology,moderate
minidev0431,260,toxicology,moderate
minidev0432,263,toxicology,challenging
minidev0433,268,toxicology,challenging
minidev0434,273,toxicology,moderate
minidev0435,281,toxicology,challenging
minidev0436,282,toxicology,challenging
minidev0437,327,toxicology,moderate
minidev0438,5,california_schools,simple
minidev0439,11,california_schools,simple
minidev0440,12,california_schools,moderate
minidev0441,17,california_schools,simple
minidev0442,23,california_schools,moderate
minidev0443,24,california_schools,moderate
minidev0444,25,california_schools,moderate
minidev0445,26,california_schools,moderate
minidev0446,27,california_schools,moderate
minidev0447,28,california_schools,challenging
minidev0448,31,california_schools,moderate
minidev0449,32,california_schools,moderate
minidev0450,37,california_schools,moderate
minidev0451,36,california_schools,challenging
minidev0452,39,california_schools,simple
minidev0453,40,california_schools,moderate
minidev0454,41,california_schools,simple
minidev0455,45,california_schools,moderate
minidev0456,46,california_schools,simple
minidev0457,47,california_schools,moderate
minidev0458,48,california_schools,moderate
minidev0459,50,california_schools,simple
minidev0460,62,california_schools,challenging
minidev0461,72,california_schools,moderate
minidev0462,77,california_schools,moderate
minidev0463,79,california_schools,moderate
minidev0464,82,california_schools,simple
minidev0465,83,california_schools,challenging
minidev0466,85,california_schools,moderate
minidev0467,87,california_schools,challenging
minidev0468,89,financial,moderate
minidev0469,92,financial,simple
minidev0470,93,financial,moderate
minidev0471,94,financial,challenging
minidev0472,95,financial,moderate
minidev0473,98,financial,moderate
minidev0474,99,financial,moderate
minidev0475,100,financial,moderate
minidev0476,112,financial,simple
minidev0477,115,financial,challenging
minidev0478,116,financial,challenging
minidev0479,117,financial,moderate
minidev0480,118,financial,moderate
minidev0481,125,financial,challenging
minidev0482,128,financial,moderate
minidev0483,136,financial,moderate
minidev0484,137,financial,moderate
minidev0485,138,financial,moderate
minidev0486,129,financial,moderate
minidev0487,145,financial,moderate
minidev0488,149,financial,challenging
minidev0489,152,financial,moderate
minidev0490,159,financial,simple
minidev0491,168,financial,moderate
minidev0492,169,financial,challenging
minidev0493,173,financial,challenging
minidev0494,186,financial,moderate
minidev0495,189,financial,moderate
minidev0496,192,financial,moderate
minidev0497,194,financial,moderate
